uf,tipo_crime,ano,mes,quantidade_ocorrencias
Acre,Homicidio doloso,2022,11,29
Acre,Lesao corporal seguida de morte,2022,11,2
Acre,Roubo de veiculo,2022,11,61
Acre,Roubo seguido de morte (latrocinio),2022,11,1
Acre,Tentativa de homicidio,2022,11,30
Acre,Estupro,2022,12,58
Acre,Furto de veiculo,2022,12,52
Acre,Homicidio doloso,2022,12,22
Acre,Lesao corporal seguida de morte,2022,12,1
Acre,Roubo de veiculo,2022,12,43
Acre,Tentativa de homicidio,2022,12,31
Alagoas,Estupro,2022,1,57
Alagoas,Furto de veiculo,2022,1,160
Alagoas,Homicidio doloso,2022,1,102
Alagoas,Lesao corporal seguida de morte,2022,1,0
Alagoas,Roubo a instituicao financeira,2022,1,0
Alagoas,Roubo de carga,2022,1,1
Alagoas,Roubo de veiculo,2022,1,130
Alagoas,Roubo seguido de morte (latrocinio),2022,1,1
Alagoas,Tentativa de homicidio,2022,1,47
Alagoas,Estupro,2022,2,45
Alagoas,Furto de veiculo,2022,2,144
Alagoas,Homicidio doloso,2022,2,85
Alagoas,Lesao corporal seguida de morte,2022,2,0
Alagoas,Roubo a instituicao financeira,2022,2,0
Alagoas,Roubo de carga,2022,2,0
Alagoas,Roubo de veiculo,2022,2,138
Alagoas,Roubo seguido de morte (latrocinio),2022,2,2
Alagoas,Tentativa de homicidio,2022,2,55
Alagoas,Estupro,2022,3,81
Alagoas,Furto de veiculo,2022,3,162
Alagoas,Homicidio doloso,2022,3,95
Alagoas,Lesao corporal seguida de morte,2022,3,1
Alagoas,Roubo a instituicao financeira,2022,3,0
Alagoas,Roubo de carga,2022,3,0
Alagoas,Roubo de veiculo,2022,3,132
Alagoas,Roubo seguido de morte (latrocinio),2022,3,2
Alagoas,Tentativa de homicidio,2022,3,46
Alagoas,Estupro,2022,4,73
Alagoas,Furto de veiculo,2022,4,135
Alagoas,Homicidio doloso,2022,4,107
Alagoas,Roubo de carga,2022,4,1
Alagoas,Roubo de veiculo,2022,4,114
Alagoas,Roubo seguido de morte (latrocinio),2022,4,4
Alagoas,Tentativa de homicidio,2022,4,45
Alagoas,Estupro,2022,5,17
Alagoas,Furto de veiculo,2022,5,142
Alagoas,Homicidio doloso,2022,5,77
Alagoas,Lesao corporal seguida de morte,2022,5,1
Alagoas,Roubo de veiculo,2022,5,143
Alagoas,Roubo seguido de morte (latrocinio),2022,5,2
Alagoas,Tentativa de homicidio,2022,5,45
Alagoas,Estupro,2022,6,54
Alagoas,Furto de veiculo,2022,6,183
Alagoas,Homicidio doloso,2022,6,86
Alagoas,Roubo de carga,2022,6,2
Alagoas,Roubo de veiculo,2022,6,136
Alagoas,Roubo seguido de morte (latrocinio),2022,6,1
Alagoas,Tentativa de homicidio,2022,6,41
Alagoas,Estupro,2022,7,74
Alagoas,Furto de veiculo,2022,7,184
Alagoas,Homicidio doloso,2022,7,92
Alagoas,Lesao corporal seguida de morte,2022,7,0
Alagoas,Roubo a instituicao financeira,2022,7,0
Alagoas,Roubo de carga,2022,7,5
Alagoas,Roubo de veiculo,2022,7,150
Alagoas,Roubo seguido de morte (latrocinio),2022,7,3
Alagoas,Tentativa de homicidio,2022,7,67
Alagoas,Estupro,2022,8,73
Alagoas,Furto de veiculo,2022,8,158
Alagoas,Homicidio doloso,2022,8,63
Alagoas,Lesao corporal seguida de morte,2022,8,2
Alagoas,Roubo a instituicao financeira,2022,8,0
Alagoas,Roubo de carga,2022,8,0
Alagoas,Roubo de veiculo,2022,8,133
Alagoas,Roubo seguido de morte (latrocinio),2022,8,2
Alagoas,Tentativa de homicidio,2022,8,68
Alagoas,Estupro,2022,9,79
Alagoas,Furto de veiculo,2022,9,176
Alagoas,Homicidio doloso,2022,9,90
Alagoas,Roubo de carga,2022,9,3
Alagoas,Roubo de veiculo,2022,9,134
Alagoas,Roubo seguido de morte (latrocinio),2022,9,1
Alagoas,Tentativa de homicidio,2022,9,49
Alagoas,Estupro,2022,10,73
Alagoas,Furto de veiculo,2022,10,192
Alagoas,Homicidio doloso,2022,10,95
Alagoas,Roubo de carga,2022,10,3
Alagoas,Roubo de veiculo,2022,10,158
Alagoas,Roubo seguido de morte (latrocinio),2022,10,2
Alagoas,Tentativa de homicidio,2022,10,57
Alagoas,Estupro,2022,11,4
Alagoas,Furto de veiculo,2022,11,155
Alagoas,Homicidio doloso,2022,11,83
Alagoas,Roubo de carga,2022,11,3
Alagoas,Roubo de veiculo,2022,11,145
Alagoas,Tentativa de homicidio,2022,11,79
Alagoas,Estupro,2022,12,57
Alagoas,Furto de veiculo,2022,12,231
Alagoas,Homicidio doloso,2022,12,103
Alagoas,Roubo de carga,2022,12,2
Alagoas,Roubo de veiculo,2022,12,183
Alagoas,Tentativa de homicidio,2022,12,67
Amapa,Estupro,2022,1,7
Amapa,Furto de veiculo,2022,1,30
Amapa,Homicidio doloso,2022,1,16
Amapa,Lesao corporal seguida de morte,2022,1,0
Amapa,Roubo a instituicao financeira,2022,1,0
Amapa,Roubo de carga,2022,1,0
Amapa,Roubo de veiculo,2022,1,39
Amapa,Roubo seguido de morte (latrocinio),2022,1,5
Amapa,Tentativa de homicidio,2022,1,18
Amapa,Estupro,2022,2,13
Amapa,Furto de veiculo,2022,2,120
Amapa,Homicidio doloso,2022,2,20
Amapa,Lesao corporal seguida de morte,2022,2,0
Amapa,Roubo a instituicao financeira,2022,2,0
Amapa,Roubo de carga,2022,2,0
Amapa,Roubo de veiculo,2022,2,25
Amapa,Roubo seguido de morte (latrocinio),2022,2,2
Amapa,Tentativa de homicidio,2022,2,12
Amapa,Estupro,2022,3,5
Amapa,Furto de veiculo,2022,3,28
Amapa,Homicidio doloso,2022,3,12
Amapa,Lesao corporal seguida de morte,2022,3,1
Amapa,Roubo a instituicao financeira,2022,3,0
Amapa,Roubo de carga,2022,3,1
Amapa,Roubo de veiculo,2022,3,37
Amapa,Roubo seguido de morte (latrocinio),2022,3,1
Amapa,Tentativa de homicidio,2022,3,10
Amapa,Estupro,2022,4,10
Amapa,Furto de veiculo,2022,4,35
Amapa,Homicidio doloso,2022,4,15
Amapa,Lesao corporal seguida de morte,2022,4,0
Amapa,Roubo a instituicao financeira,2022,4,1
Amapa,Roubo de carga,2022,4,5
Amapa,Roubo de veiculo,2022,4,42
Amapa,Roubo seguido de morte (latrocinio),2022,4,2
Amapa,Tentativa de homicidio,2022,4,15
Amapa,Estupro,2022,5,12
Amapa,Furto de veiculo,2022,5,26
Amapa,Homicidio doloso,2022,5,13
Amapa,Lesao corporal seguida de morte,2022,5,2
Amapa,Roubo de veiculo,2022,5,29
Amapa,Roubo seguido de morte (latrocinio),2022,5,2
Amapa,Tentativa de homicidio,2022,5,19
Amapa,Estupro,2022,6,12
Amapa,Furto de veiculo,2022,6,21
Amapa,Homicidio doloso,2022,6,13
Amapa,Lesao corporal seguida de morte,2022,6,3
Amapa,Roubo a instituicao financeira,2022,6,1
Amapa,Roubo de veiculo,2022,6,20
Amapa,Roubo seguido de morte (latrocinio),2022,6,2
Amapa,Tentativa de homicidio,2022,6,16
Amapa,Estupro,2022,7,9
Amapa,Furto de veiculo,2022,7,18
Amapa,Homicidio doloso,2022,7,13
Amapa,Lesao corporal seguida de morte,2022,7,2
Amapa,Roubo de veiculo,2022,7,25
Amapa,Roubo seguido de morte (latrocinio),2022,7,1
Amapa,Tentativa de homicidio,2022,7,27
Amapa,Estupro,2022,8,8
Amapa,Furto de veiculo,2022,8,26
Amapa,Homicidio doloso,2022,8,22
Amapa,Lesao corporal seguida de morte,2022,8,1
Amapa,Roubo a instituicao financeira,2022,8,1
Amapa,Roubo de carga,2022,8,6
Amapa,Roubo de veiculo,2022,8,34
Amapa,Roubo seguido de morte (latrocinio),2022,8,1
Amapa,Tentativa de homicidio,2022,8,12
Amapa,Estupro,2022,9,14
Amapa,Furto de veiculo,2022,9,26
Amapa,Homicidio doloso,2022,9,11
Amapa,Lesao corporal seguida de morte,2022,9,3
Amapa,Roubo a instituicao financeira,2022,9,1
Amapa,Roubo de carga,2022,9,5
Amapa,Roubo de veiculo,2022,9,34
Amapa,Roubo seguido de morte (latrocinio),2022,9,4
Amapa,Tentativa de homicidio,2022,9,9
Amapa,Estupro,2022,10,10
Amapa,Furto de veiculo,2022,10,28
Amapa,Homicidio doloso,2022,10,14
Amapa,Lesao corporal seguida de morte,2022,10,1
Amapa,Roubo a instituicao financeira,2022,10,2
Amapa,Roubo de carga,2022,10,4
Amapa,Roubo de veiculo,2022,10,34
Amapa,Tentativa de homicidio,2022,10,24
Amapa,Estupro,2022,11,17
Amapa,Furto de veiculo,2022,11,44
Amapa,Homicidio doloso,2022,11,21
Amapa,Lesao corporal seguida de morte,2022,11,2
Amapa,Roubo de veiculo,2022,11,31
Amapa,Tentativa de homicidio,2022,11,17
Amapa,Estupro,2022,12,19
Amapa,Furto de veiculo,2022,12,24
Amapa,Homicidio doloso,2022,12,26
Amapa,Lesao corporal seguida de morte,2022,12,2
Amapa,Roubo de veiculo,2022,12,26
Amapa,Roubo seguido de morte (latrocinio),2022,12,3
Amapa,Tentativa de homicidio,2022,12,16
Amazonas,Estupro,2022,1,43
Amazonas,Furto de veiculo,2022,1,176
Amazonas,Homicidio doloso,2022,1,95
Amazonas,Lesao corporal seguida de morte,2022,1,1
Amazonas,Roubo a instituicao financeira,2022,1,0
Amazonas,Roubo de carga,2022,1,0
Amazonas,Roubo de veiculo,2022,1,144
Amazonas,Roubo seguido de morte (latrocinio),2022,1,5
Amazonas,Tentativa de homicidio,2022,1,11
Amazonas,Estupro,2022,2,64
Amazonas,Furto de veiculo,2022,2,204
Amazonas,Homicidio doloso,2022,2,90
Amazonas,Lesao corporal seguida de morte,2022,2,2
Amazonas,Roubo a instituicao financeira,2022,2,0
Amazonas,Roubo de carga,2022,2,0
Amazonas,Roubo de veiculo,2022,2,174
Amazonas,Roubo seguido de morte (latrocinio),2022,2,5
Amazonas,Tentativa de homicidio,2022,2,16
Amazonas,Estupro,2022,3,76
Amazonas,Furto de veiculo,2022,3,211
Amazonas,Homicidio doloso,2022,3,97
Amazonas,Lesao corporal seguida de morte,2022,3,5
Amazonas,Roubo a instituicao financeira,2022,3,0
Amazonas,Roubo de carga,2022,3,1
Amazonas,Roubo de veiculo,2022,3,164
Amazonas,Roubo seguido de morte (latrocinio),2022,3,5
Amazonas,Tentativa de homicidio,2022,3,27
Amazonas,Estupro,2022,4,81
Amazonas,Furto de veiculo,2022,4,195
Amazonas,Homicidio doloso,2022,4,115
Amazonas,Lesao corporal seguida de morte,2022,4,5
Amazonas,Roubo a instituicao financeira,2022,4,0
Amazonas,Roubo de carga,2022,4,3
Amazonas,Roubo de veiculo,2022,4,113
Amazonas,Roubo seguido de morte (latrocinio),2022,4,4
Amazonas,Tentativa de homicidio,2022,4,33
Amazonas,Estupro,2022,5,72
Amazonas,Furto de veiculo,2022,5,220
Amazonas,Homicidio doloso,2022,5,127
Amazonas,Lesao corporal seguida de morte,2022,5,2
Amazonas,Roubo a instituicao financeira,2022,5,0
Amazonas,Roubo de carga,2022,5,0
Amazonas,Roubo de veiculo,2022,5,118
Amazonas,Roubo seguido de morte (latrocinio),2022,5,7
Amazonas,Tentativa de homicidio,2022,5,16
Amazonas,Estupro,2022,6,81
Amazonas,Furto de veiculo,2022,6,178
Amazonas,Homicidio doloso,2022,6,96
Amazonas,Lesao corporal seguida de morte,2022,6,0
Amazonas,Roubo a instituicao financeira,2022,6,0
Amazonas,Roubo de carga,2022,6,2
Amazonas,Roubo de veiculo,2022,6,111
Amazonas,Roubo seguido de morte (latrocinio),2022,6,4
Amazonas,Tentativa de homicidio,2022,6,17
Amazonas,Estupro,2022,7,100
Amazonas,Furto de veiculo,2022,7,231
Amazonas,Homicidio doloso,2022,7,101
Amazonas,Lesao corporal seguida de morte,2022,7,2
Amazonas,Roubo a instituicao financeira,2022,7,0
Amazonas,Roubo de carga,2022,7,0
Amazonas,Roubo de veiculo,2022,7,116
Amazonas,Roubo seguido de morte (latrocinio),2022,7,6
Amazonas,Tentativa de homicidio,2022,7,25
Amazonas,Estupro,2022,8,88
Amazonas,Furto de veiculo,2022,8,157
Amazonas,Homicidio doloso,2022,8,109
Amazonas,Lesao corporal seguida de morte,2022,8,1
Amazonas,Roubo a instituicao financeira,2022,8,1
Amazonas,Roubo de carga,2022,8,6
Amazonas,Roubo de veiculo,2022,8,118
Amazonas,Roubo seguido de morte (latrocinio),2022,8,3
Amazonas,Tentativa de homicidio,2022,8,26
Amazonas,Estupro,2022,9,99
Amazonas,Furto de veiculo,2022,9,208
Amazonas,Homicidio doloso,2022,9,118
Amazonas,Lesao corporal seguida de morte,2022,9,4
Amazonas,Roubo a instituicao financeira,2022,9,0
Amazonas,Roubo de carga,2022,9,1
Amazonas,Roubo de veiculo,2022,9,100
Amazonas,Roubo seguido de morte (latrocinio),2022,9,2
Amazonas,Tentativa de homicidio,2022,9,20
Amazonas,Estupro,2022,10,71
Amazonas,Furto de veiculo,2022,10,134
Amazonas,Homicidio doloso,2022,10,122
Amazonas,Lesao corporal seguida de morte,2022,10,5
Amazonas,Roubo a instituicao financeira,2022,10,0
Amazonas,Roubo de carga,2022,10,2
Amazonas,Roubo de veiculo,2022,10,123
Amazonas,Roubo seguido de morte (latrocinio),2022,10,5
Amazonas,Tentativa de homicidio,2022,10,31
Amazonas,Estupro,2022,11,53
Amazonas,Furto de veiculo,2022,11,148
Amazonas,Homicidio doloso,2022,11,106
Amazonas,Lesao corporal seguida de morte,2022,11,5
Amazonas,Roubo a instituicao financeira,2022,11,0
Amazonas,Roubo de carga,2022,11,0
Amazonas,Roubo de veiculo,2022,11,109
Amazonas,Roubo seguido de morte (latrocinio),2022,11,5
Amazonas,Tentativa de homicidio,2022,11,17
Amazonas,Estupro,2022,12,83
Amazonas,Furto de veiculo,2022,12,158
Amazonas,Homicidio doloso,2022,12,108
Amazonas,Lesao corporal seguida de morte,2022,12,2
Amazonas,Roubo a instituicao financeira,2022,12,0
Amazonas,Roubo de carga,2022,12,2
Amazonas,Roubo de veiculo,2022,12,118
Amazonas,Roubo seguido de morte (latrocinio),2022,12,5
Amazonas,Tentativa de homicidio,2022,12,41
Bahia,Estupro,2022,1,234
Bahia,Furto de veiculo,2022,1,420
Bahia,Homicidio doloso,2022,1,373
Bahia,Lesao corporal seguida de morte,2022,1,4
Bahia,Roubo a instituicao financeira,2022,1,0
Bahia,Roubo de carga,2022,1,30
Bahia,Roubo de veiculo,2022,1,903
Bahia,Roubo seguido de morte (latrocinio),2022,1,4
Bahia,Tentativa de homicidio,2022,1,154
Bahia,Estupro,2022,2,243
Bahia,Furto de veiculo,2022,2,437
Bahia,Homicidio doloso,2022,2,387
Bahia,Lesao corporal seguida de morte,2022,2,4
Bahia,Roubo a instituicao financeira,2022,2,3
Bahia,Roubo de carga,2022,2,34
Bahia,Roubo de veiculo,2022,2,954
Bahia,Roubo seguido de morte (latrocinio),2022,2,8
Bahia,Tentativa de homicidio,2022,2,140
Bahia,Estupro,2022,3,276
Bahia,Furto de veiculo,2022,3,535
Bahia,Homicidio doloso,2022,3,454
Bahia,Lesao corporal seguida de morte,2022,3,5
Bahia,Roubo a instituicao financeira,2022,3,0
Bahia,Roubo de carga,2022,3,28
Bahia,Roubo de veiculo,2022,3,1100
Bahia,Roubo seguido de morte (latrocinio),2022,3,5
Bahia,Tentativa de homicidio,2022,3,171
Bahia,Estupro,2022,4,311
Bahia,Furto de veiculo,2022,4,550
Bahia,Homicidio doloso,2022,4,403
Bahia,Lesao corporal seguida de morte,2022,4,5
Bahia,Roubo a instituicao financeira,2022,4,0
Bahia,Roubo de carga,2022,4,17
Bahia,Roubo de veiculo,2022,4,948
Bahia,Roubo seguido de morte (latrocinio),2022,4,8
Bahia,Tentativa de homicidio,2022,4,159
Bahia,Estupro,2022,5,342
Bahia,Furto de veiculo,2022,5,558
Bahia,Homicidio doloso,2022,5,412
Bahia,Lesao corporal seguida de morte,2022,5,4
Bahia,Roubo a instituicao financeira,2022,5,0
Bahia,Roubo de carga,2022,5,28
Bahia,Roubo de veiculo,2022,5,986
Bahia,Roubo seguido de morte (latrocinio),2022,5,5
Bahia,Tentativa de homicidio,2022,5,163
Bahia,Estupro,2022,6,321
Bahia,Furto de veiculo,2022,6,614
Bahia,Homicidio doloso,2022,6,362
Bahia,Lesao corporal seguida de morte,2022,6,10
Bahia,Roubo a instituicao financeira,2022,6,0
Bahia,Roubo de carga,2022,6,16
Bahia,Roubo de veiculo,2022,6,1032
Bahia,Roubo seguido de morte (latrocinio),2022,6,12
Bahia,Tentativa de homicidio,2022,6,211
Bahia,Estupro,2022,7,332
Bahia,Furto de veiculo,2022,7,653
Bahia,Homicidio doloso,2022,7,376
Bahia,Lesao corporal seguida de morte,2022,7,1
Bahia,Roubo a instituicao financeira,2022,7,0
Bahia,Roubo de carga,2022,7,30
Bahia,Roubo de veiculo,2022,7,1034
Bahia,Roubo seguido de morte (latrocinio),2022,7,5
Bahia,Tentativa de homicidio,2022,7,177
Bahia,Estupro,2022,8,352
Bahia,Furto de veiculo,2022,8,577
Bahia,Homicidio doloso,2022,8,350
Bahia,Lesao corporal seguida de morte,2022,8,6
Bahia,Roubo a instituicao financeira,2022,8,0
Bahia,Roubo de carga,2022,8,28
Bahia,Roubo de veiculo,2022,8,1046
Bahia,Roubo seguido de morte (latrocinio),2022,8,6
Bahia,Tentativa de homicidio,2022,8,165
Bahia,Estupro,2022,9,339
Bahia,Furto de veiculo,2022,9,575
Bahia,Homicidio doloso,2022,9,355
Bahia,Lesao corporal seguida de morte,2022,9,4
Bahia,Roubo a instituicao financeira,2022,9,0
Bahia,Roubo de carga,2022,9,27
Bahia,Roubo de veiculo,2022,9,1050
Bahia,Roubo seguido de morte (latrocinio),2022,9,7
Bahia,Tentativa de homicidio,2022,9,188
Bahia,Estupro,2022,10,383
Bahia,Furto de veiculo,2022,10,607
Bahia,Homicidio doloso,2022,10,421
Bahia,Lesao corporal seguida de morte,2022,10,3
Bahia,Roubo a instituicao financeira,2022,10,3
Bahia,Roubo de carga,2022,10,30
Bahia,Roubo de veiculo,2022,10,1019
Bahia,Roubo seguido de morte (latrocinio),2022,10,9
Bahia,Tentativa de homicidio,2022,10,202
Bahia,Estupro,2022,11,328
Bahia,Furto de veiculo,2022,11,576
Bahia,Homicidio doloso,2022,11,386
Bahia,Lesao corporal seguida de morte,2022,11,8
Bahia,Roubo a instituicao financeira,2022,11,0
Bahia,Roubo de carga,2022,11,26
Bahia,Roubo de veiculo,2022,11,1049
Bahia,Roubo seguido de morte (latrocinio),2022,11,5
Bahia,Tentativa de homicidio,2022,11,191
Bahia,Estupro,2022,12,288
Bahia,Furto de veiculo,2022,12,564
Bahia,Homicidio doloso,2022,12,408
Bahia,Lesao corporal seguida de morte,2022,12,3
Bahia,Roubo a instituicao financeira,2022,12,0
Bahia,Roubo de carga,2022,12,44
Bahia,Roubo de veiculo,2022,12,1103
Bahia,Roubo seguido de morte (latrocinio),2022,12,10
Bahia,Tentativa de homicidio,2022,12,163
Ceara,Estupro,2022,1,111
Ceara,Furto de veiculo,2022,1,345
Ceara,Homicidio doloso,2022,1,241
Ceara,Lesao corporal seguida de morte,2022,1,1
Ceara,Roubo a instituicao financeira,2022,1,0
Ceara,Roubo de carga,2022,1,4
Ceara,Roubo de veiculo,2022,1,666
Ceara,Roubo seguido de morte (latrocinio),2022,1,6
Ceara,Tentativa de homicidio,2022,1,64
Ceara,Estupro,2022,2,109
Ceara,Furto de veiculo,2022,2,396
Ceara,Homicidio doloso,2022,2,252
Ceara,Lesao corporal seguida de morte,2022,2,1
Ceara,Roubo a instituicao financeira,2022,2,0
Ceara,Roubo de carga,2022,2,4
Ceara,Roubo de veiculo,2022,2,583
Ceara,Roubo seguido de morte (latrocinio),2022,2,0
Ceara,Tentativa de homicidio,2022,2,83
Ceara,Estupro,2022,3,146
Ceara,Furto de veiculo,2022,3,379
Ceara,Homicidio doloso,2022,3,214
Ceara,Lesao corporal seguida de morte,2022,3,1
Ceara,Roubo a instituicao financeira,2022,3,0
Ceara,Roubo de carga,2022,3,3
Ceara,Roubo de veiculo,2022,3,629
Ceara,Roubo seguido de morte (latrocinio),2022,3,3
Ceara,Tentativa de homicidio,2022,3,81
Ceara,Estupro,2022,4,122
Ceara,Furto de veiculo,2022,4,453
Ceara,Homicidio doloso,2022,4,218
Ceara,Lesao corporal seguida de morte,2022,4,0
Ceara,Roubo a instituicao financeira,2022,4,0
Ceara,Roubo de carga,2022,4,2
Ceara,Roubo de veiculo,2022,4,660
Ceara,Roubo seguido de morte (latrocinio),2022,4,5
Ceara,Tentativa de homicidio,2022,4,102
Ceara,Estupro,2022,5,178
Ceara,Furto de veiculo,2022,5,476
Ceara,Homicidio doloso,2022,5,248
Ceara,Lesao corporal seguida de morte,2022,5,3
Ceara,Roubo a instituicao financeira,2022,5,0
Ceara,Roubo de carga,2022,5,5
Ceara,Roubo de veiculo,2022,5,626
Ceara,Roubo seguido de morte (latrocinio),2022,5,1
Ceara,Tentativa de homicidio,2022,5,79
Ceara,Estupro,2022,6,142
Ceara,Furto de veiculo,2022,6,513
Ceara,Homicidio doloso,2022,6,203
Ceara,Lesao corporal seguida de morte,2022,6,2
Ceara,Roubo a instituicao financeira,2022,6,1
Ceara,Roubo de carga,2022,6,8
Ceara,Roubo de veiculo,2022,6,576
Ceara,Roubo seguido de morte (latrocinio),2022,6,3
Ceara,Tentativa de homicidio,2022,6,73
Ceara,Estupro,2022,7,157
Ceara,Furto de veiculo,2022,7,464
Ceara,Homicidio doloso,2022,7,229
Ceara,Lesao corporal seguida de morte,2022,7,5
Ceara,Roubo a instituicao financeira,2022,7,0
Ceara,Roubo de carga,2022,7,6
Ceara,Roubo de veiculo,2022,7,618
Ceara,Roubo seguido de morte (latrocinio),2022,7,5
Ceara,Tentativa de homicidio,2022,7,78
Ceara,Estupro,2022,8,192
Ceara,Furto de veiculo,2022,8,549
Ceara,Homicidio doloso,2022,8,230
Ceara,Lesao corporal seguida de morte,2022,8,0
Ceara,Roubo a instituicao financeira,2022,8,2
Ceara,Roubo de carga,2022,8,8
Ceara,Roubo de veiculo,2022,8,626
Ceara,Roubo seguido de morte (latrocinio),2022,8,3
Ceara,Tentativa de homicidio,2022,8,77
Ceara,Estupro,2022,9,185
Ceara,Furto de veiculo,2022,9,482
Ceara,Homicidio doloso,2022,9,224
Ceara,Lesao corporal seguida de morte,2022,9,1
Ceara,Roubo a instituicao financeira,2022,9,1
Ceara,Roubo de carga,2022,9,11
Ceara,Roubo de veiculo,2022,9,669
Ceara,Roubo seguido de morte (latrocinio),2022,9,5
Ceara,Tentativa de homicidio,2022,9,82
Ceara,Estupro,2022,10,190
Ceara,Furto de veiculo,2022,10,594
Ceara,Homicidio doloso,2022,10,232
Ceara,Lesao corporal seguida de morte,2022,10,1
Ceara,Roubo a instituicao financeira,2022,10,2
Ceara,Roubo de carga,2022,10,0
Ceara,Roubo de veiculo,2022,10,612
Ceara,Roubo seguido de morte (latrocinio),2022,10,0
Ceara,Tentativa de homicidio,2022,10,95
Ceara,Estupro,2022,11,133
Ceara,Furto de veiculo,2022,11,631
Ceara,Homicidio doloso,2022,11,217
Ceara,Lesao corporal seguida de morte,2022,11,1
Ceara,Roubo a instituicao financeira,2022,11,0
Ceara,Roubo de carga,2022,11,4
Ceara,Roubo de veiculo,2022,11,705
Ceara,Roubo seguido de morte (latrocinio),2022,11,4
Ceara,Tentativa de homicidio,2022,11,102
Ceara,Estupro,2022,12,136
Ceara,Furto de veiculo,2022,12,622
Ceara,Homicidio doloso,2022,12,229
Ceara,Lesao corporal seguida de morte,2022,12,0
Ceara,Roubo a instituicao financeira,2022,12,1
Ceara,Roubo de carga,2022,12,11
Ceara,Roubo de veiculo,2022,12,727
Ceara,Roubo seguido de morte (latrocinio),2022,12,7
Ceara,Tentativa de homicidio,2022,12,99
Distrito Federal,Estupro,2022,1,48
Distrito Federal,Furto de veiculo,2022,1,286
Distrito Federal,Homicidio doloso,2022,1,14
Distrito Federal,Lesao corporal seguida de morte,2022,1,0
Distrito Federal,Roubo a instituicao financeira,2022,1,0
Distrito Federal,Roubo de carga,2022,1,3
Distrito Federal,Roubo de veiculo,2022,1,128
Distrito Federal,Roubo seguido de morte (latrocinio),2022,1,2
Distrito Federal,Tentativa de homicidio,2022,1,40
Distrito Federal,Estupro,2022,2,50
Distrito Federal,Furto de veiculo,2022,2,251
Distrito Federal,Homicidio doloso,2022,2,25
Distrito Federal,Lesao corporal seguida de morte,2022,2,1
Distrito Federal,Roubo a instituicao financeira,2022,2,0
Distrito Federal,Roubo de carga,2022,2,3
Distrito Federal,Roubo de veiculo,2022,2,143
Distrito Federal,Roubo seguido de morte (latrocinio),2022,2,0
Distrito Federal,Tentativa de homicidio,2022,2,32
Distrito Federal,Estupro,2022,3,50
Distrito Federal,Furto de veiculo,2022,3,296
