uf,tipo_crime,ano,mes,sexo_vitima,quantidade_vitimas
Amapa,Homicidio doloso,2022,11,Feminino,1
Amapa,Homicidio doloso,2022,11,Masculino,20
Amapa,Homicidio doloso,2022,12,Feminino,3
Amapa,Homicidio doloso,2022,12,Masculino,23
Amapa,Homicidio doloso,2022,12,Nao informado,0
Amapa,Lesao corporal seguida de morte,2022,1,Feminino,0
Amapa,Lesao corporal seguida de morte,2022,1,Masculino,0
Amapa,Lesao corporal seguida de morte,2022,1,Nao informado,0
Amapa,Lesao corporal seguida de morte,2022,2,Feminino,0
Amapa,Lesao corporal seguida de morte,2022,2,Masculino,0
Amapa,Lesao corporal seguida de morte,2022,2,Nao informado,0
Amapa,Lesao corporal seguida de morte,2022,3,Feminino,0
Amapa,Lesao corporal seguida de morte,2022,3,Masculino,1
Amapa,Lesao corporal seguida de morte,2022,3,Nao informado,0
Amapa,Lesao corporal seguida de morte,2022,5,Masculino,2
Amapa,Lesao corporal seguida de morte,2022,6,Masculino,2
Amapa,Lesao corporal seguida de morte,2022,7,Masculino,2
Amapa,Lesao corporal seguida de morte,2022,8,Masculino,1
Amapa,Lesao corporal seguida de morte,2022,9,Masculino,1
Amapa,Lesao corporal seguida de morte,2022,10,Feminino,1
Amapa,Lesao corporal seguida de morte,2022,11,Masculino,2
Amapa,Lesao corporal seguida de morte,2022,12,Masculino,2
Amapa,Roubo seguido de morte (latrocinio),2022,1,Feminino,0
Amapa,Roubo seguido de morte (latrocinio),2022,1,Masculino,7
Amapa,Roubo seguido de morte (latrocinio),2022,1,Nao informado,0
Amapa,Roubo seguido de morte (latrocinio),2022,2,Feminino,0
Amapa,Roubo seguido de morte (latrocinio),2022,2,Masculino,2
Amapa,Roubo seguido de morte (latrocinio),2022,2,Nao informado,0
Amapa,Roubo seguido de morte (latrocinio),2022,3,Feminino,0
Amapa,Roubo seguido de morte (latrocinio),2022,3,Masculino,1
Amapa,Roubo seguido de morte (latrocinio),2022,3,Nao informado,0
Amapa,Roubo seguido de morte (latrocinio),2022,4,Masculino,2
Amapa,Roubo seguido de morte (latrocinio),2022,5,Masculino,2
Amapa,Roubo seguido de morte (latrocinio),2022,6,Masculino,3
Amapa,Roubo seguido de morte (latrocinio),2022,7,Masculino,1
Amapa,Roubo seguido de morte (latrocinio),2022,8,Masculino,1
Amapa,Roubo seguido de morte (latrocinio),2022,9,Masculino,2
Amapa,Roubo seguido de morte (latrocinio),2022,12,Feminino,0
Amapa,Roubo seguido de morte (latrocinio),2022,12,Masculino,3
Amazonas,Homicidio doloso,2022,1,Feminino,3
Amazonas,Homicidio doloso,2022,1,Masculino,93
Amazonas,Homicidio doloso,2022,1,Nao informado,1
Amazonas,Homicidio doloso,2022,2,Feminino,8
Amazonas,Homicidio doloso,2022,2,Masculino,85
Amazonas,Homicidio doloso,2022,2,Nao informado,0
Amazonas,Homicidio doloso,2022,3,Feminino,3
Amazonas,Homicidio doloso,2022,3,Masculino,96
Amazonas,Homicidio doloso,2022,3,Nao informado,0
Amazonas,Homicidio doloso,2022,4,Feminino,8
Amazonas,Homicidio doloso,2022,4,Masculino,107
Amazonas,Homicidio doloso,2022,4,Nao informado,1
Amazonas,Homicidio doloso,2022,5,Feminino,6
Amazonas,Homicidio doloso,2022,5,Masculino,127
Amazonas,Homicidio doloso,2022,5,Nao informado,0
Amazonas,Homicidio doloso,2022,6,Feminino,3
Amazonas,Homicidio doloso,2022,6,Masculino,94
Amazonas,Homicidio doloso,2022,6,Nao informado,0
Amazonas,Homicidio doloso,2022,7,Feminino,3
Amazonas,Homicidio doloso,2022,7,Masculino,102
Amazonas,Homicidio doloso,2022,7,Nao informado,0
Amazonas,Homicidio doloso,2022,8,Feminino,6
Amazonas,Homicidio doloso,2022,8,Masculino,104
Amazonas,Homicidio doloso,2022,8,Nao informado,0
Amazonas,Homicidio doloso,2022,9,Feminino,8
Amazonas,Homicidio doloso,2022,9,Masculino,110
Amazonas,Homicidio doloso,2022,9,Nao informado,0
Amazonas,Homicidio doloso,2022,10,Feminino,5
Amazonas,Homicidio doloso,2022,10,Masculino,120
Amazonas,Homicidio doloso,2022,10,Nao informado,1
Amazonas,Homicidio doloso,2022,11,Feminino,8
Amazonas,Homicidio doloso,2022,11,Masculino,101
Amazonas,Homicidio doloso,2022,11,Nao informado,0
Amazonas,Homicidio doloso,2022,12,Feminino,6
Amazonas,Homicidio doloso,2022,12,Masculino,110
Amazonas,Homicidio doloso,2022,12,Nao informado,0
Amazonas,Lesao corporal seguida de morte,2022,1,Feminino,0
Amazonas,Lesao corporal seguida de morte,2022,1,Masculino,1
Amazonas,Lesao corporal seguida de morte,2022,1,Nao informado,0
Amazonas,Lesao corporal seguida de morte,2022,2,Feminino,0
Amazonas,Lesao corporal seguida de morte,2022,2,Masculino,2
Amazonas,Lesao corporal seguida de morte,2022,2,Nao informado,0
Amazonas,Lesao corporal seguida de morte,2022,3,Feminino,0
Amazonas,Lesao corporal seguida de morte,2022,3,Masculino,5
Amazonas,Lesao corporal seguida de morte,2022,3,Nao informado,0
Amazonas,Lesao corporal seguida de morte,2022,4,Feminino,4
Amazonas,Lesao corporal seguida de morte,2022,4,Nao informado,1
Amazonas,Lesao corporal seguida de morte,2022,5,Feminino,0
Amazonas,Lesao corporal seguida de morte,2022,5,Masculino,2
Amazonas,Lesao corporal seguida de morte,2022,5,Nao informado,0
Amazonas,Lesao corporal seguida de morte,2022,6,Feminino,0
Amazonas,Lesao corporal seguida de morte,2022,6,Masculino,0
Amazonas,Lesao corporal seguida de morte,2022,6,Nao informado,0
Amazonas,Lesao corporal seguida de morte,2022,7,Feminino,0
Amazonas,Lesao corporal seguida de morte,2022,7,Masculino,2
Amazonas,Lesao corporal seguida de morte,2022,7,Nao informado,0
Amazonas,Lesao corporal seguida de morte,2022,8,Feminino,0
Amazonas,Lesao corporal seguida de morte,2022,8,Masculino,1
Amazonas,Lesao corporal seguida de morte,2022,8,Nao informado,0
Amazonas,Lesao corporal seguida de morte,2022,9,Feminino,0
Amazonas,Lesao corporal seguida de morte,2022,9,Masculino,4
Amazonas,Lesao corporal seguida de morte,2022,9,Nao informado,0
Amazonas,Lesao corporal seguida de morte,2022,10,Feminino,0
Amazonas,Lesao corporal seguida de morte,2022,10,Masculino,5
Amazonas,Lesao corporal seguida de morte,2022,10,Nao informado,0
Amazonas,Lesao corporal seguida de morte,2022,11,Feminino,0
Amazonas,Lesao corporal seguida de morte,2022,11,Masculino,5
Amazonas,Lesao corporal seguida de morte,2022,11,Nao informado,0
Amazonas,Lesao corporal seguida de morte,2022,12,Feminino,0
Amazonas,Lesao corporal seguida de morte,2022,12,Masculino,2
Amazonas,Lesao corporal seguida de morte,2022,12,Nao informado,0
Amazonas,Roubo seguido de morte (latrocinio),2022,1,Feminino,1
Amazonas,Roubo seguido de morte (latrocinio),2022,1,Masculino,4
Amazonas,Roubo seguido de morte (latrocinio),2022,1,Nao informado,0
Amazonas,Roubo seguido de morte (latrocinio),2022,2,Feminino,1
Amazonas,Roubo seguido de morte (latrocinio),2022,2,Masculino,4
Amazonas,Roubo seguido de morte (latrocinio),2022,2,Nao informado,0
Amazonas,Roubo seguido de morte (latrocinio),2022,3,Feminino,0
Amazonas,Roubo seguido de morte (latrocinio),2022,3,Masculino,5
Amazonas,Roubo seguido de morte (latrocinio),2022,3,Nao informado,0
Amazonas,Roubo seguido de morte (latrocinio),2022,4,Feminino,1
Amazonas,Roubo seguido de morte (latrocinio),2022,4,Masculino,3
Amazonas,Roubo seguido de morte (latrocinio),2022,5,Feminino,1
Amazonas,Roubo seguido de morte (latrocinio),2022,5,Masculino,6
Amazonas,Roubo seguido de morte (latrocinio),2022,5,Nao informado,0
Amazonas,Roubo seguido de morte (latrocinio),2022,6,Feminino,0
Amazonas,Roubo seguido de morte (latrocinio),2022,6,Masculino,4
Amazonas,Roubo seguido de morte (latrocinio),2022,6,Nao informado,0
Amazonas,Roubo seguido de morte (latrocinio),2022,7,Feminino,0
Amazonas,Roubo seguido de morte (latrocinio),2022,7,Masculino,6
Amazonas,Roubo seguido de morte (latrocinio),2022,7,Nao informado,0
Amazonas,Roubo seguido de morte (latrocinio),2022,8,Feminino,0
Amazonas,Roubo seguido de morte (latrocinio),2022,8,Masculino,3
Amazonas,Roubo seguido de morte (latrocinio),2022,8,Nao informado,0
Amazonas,Roubo seguido de morte (latrocinio),2022,9,Feminino,0
Amazonas,Roubo seguido de morte (latrocinio),2022,9,Masculino,2
Amazonas,Roubo seguido de morte (latrocinio),2022,9,Nao informado,0
Amazonas,Roubo seguido de morte (latrocinio),2022,10,Feminino,1
Amazonas,Roubo seguido de morte (latrocinio),2022,10,Masculino,4
Amazonas,Roubo seguido de morte (latrocinio),2022,10,Nao informado,0
Amazonas,Roubo seguido de morte (latrocinio),2022,11,Feminino,0
Amazonas,Roubo seguido de morte (latrocinio),2022,11,Masculino,5
Amazonas,Roubo seguido de morte (latrocinio),2022,11,Nao informado,0
Amazonas,Roubo seguido de morte (latrocinio),2022,12,Feminino,0
Amazonas,Roubo seguido de morte (latrocinio),2022,12,Masculino,5
Amazonas,Roubo seguido de morte (latrocinio),2022,12,Nao informado,0
Bahia,Homicidio doloso,2022,1,Feminino,39
Bahia,Homicidio doloso,2022,1,Masculino,359
Bahia,Homicidio doloso,2022,1,Nao informado,0
Bahia,Homicidio doloso,2022,2,Feminino,27
Bahia,Homicidio doloso,2022,2,Masculino,393
Bahia,Homicidio doloso,2022,2,Nao informado,0
Bahia,Homicidio doloso,2022,3,Feminino,25
Bahia,Homicidio doloso,2022,3,Masculino,463
Bahia,Homicidio doloso,2022,3,Nao informado,0
Bahia,Homicidio doloso,2022,4,Feminino,34
Bahia,Homicidio doloso,2022,4,Masculino,396
Bahia,Homicidio doloso,2022,4,Nao informado,2
Bahia,Homicidio doloso,2022,5,Feminino,46
Bahia,Homicidio doloso,2022,5,Masculino,412
Bahia,Homicidio doloso,2022,5,Nao informado,0
Bahia,Homicidio doloso,2022,6,Feminino,27
Bahia,Homicidio doloso,2022,6,Masculino,356
Bahia,Homicidio doloso,2022,6,Nao informado,0
Bahia,Homicidio doloso,2022,7,Feminino,31
Bahia,Homicidio doloso,2022,7,Masculino,370
Bahia,Homicidio doloso,2022,7,Nao informado,0
Bahia,Homicidio doloso,2022,8,Feminino,40
Bahia,Homicidio doloso,2022,8,Masculino,330
Bahia,Homicidio doloso,2022,8,Nao informado,0
Bahia,Homicidio doloso,2022,9,Feminino,23
Bahia,Homicidio doloso,2022,9,Masculino,366
Bahia,Homicidio doloso,2022,9,Nao informado,0
Bahia,Homicidio doloso,2022,10,Feminino,35
Bahia,Homicidio doloso,2022,10,Masculino,418
Bahia,Homicidio doloso,2022,10,Nao informado,1
Bahia,Homicidio doloso,2022,11,Feminino,27
Bahia,Homicidio doloso,2022,11,Masculino,383
Bahia,Homicidio doloso,2022,11,Nao informado,0
Bahia,Homicidio doloso,2022,12,Feminino,42
Bahia,Homicidio doloso,2022,12,Masculino,384
Bahia,Homicidio doloso,2022,12,Nao informado,1
Bahia,Lesao corporal seguida de morte,2022,1,Feminino,3
Bahia,Lesao corporal seguida de morte,2022,1,Masculino,1
Bahia,Lesao corporal seguida de morte,2022,1,Nao informado,0
Bahia,Lesao corporal seguida de morte,2022,2,Feminino,0
Bahia,Lesao corporal seguida de morte,2022,2,Masculino,4
Bahia,Lesao corporal seguida de morte,2022,2,Nao informado,0
Bahia,Lesao corporal seguida de morte,2022,3,Feminino,0
Bahia,Lesao corporal seguida de morte,2022,3,Masculino,5
Bahia,Lesao corporal seguida de morte,2022,3,Nao informado,0
Bahia,Lesao corporal seguida de morte,2022,4,Feminino,0
Bahia,Lesao corporal seguida de morte,2022,4,Masculino,5
Bahia,Lesao corporal seguida de morte,2022,4,Nao informado,0
Bahia,Lesao corporal seguida de morte,2022,5,Feminino,0
Bahia,Lesao corporal seguida de morte,2022,5,Masculino,4
Bahia,Lesao corporal seguida de morte,2022,5,Nao informado,0
Bahia,Lesao corporal seguida de morte,2022,6,Feminino,0
Bahia,Lesao corporal seguida de morte,2022,6,Masculino,10
Bahia,Lesao corporal seguida de morte,2022,6,Nao informado,0
Bahia,Lesao corporal seguida de morte,2022,7,Feminino,0
Bahia,Lesao corporal seguida de morte,2022,7,Masculino,1
Bahia,Lesao corporal seguida de morte,2022,7,Nao informado,0
Bahia,Lesao corporal seguida de morte,2022,8,Feminino,1
Bahia,Lesao corporal seguida de morte,2022,8,Masculino,5
Bahia,Lesao corporal seguida de morte,2022,8,Nao informado,0
Bahia,Lesao corporal seguida de morte,2022,9,Feminino,0
Bahia,Lesao corporal seguida de morte,2022,9,Masculino,4
Bahia,Lesao corporal seguida de morte,2022,9,Nao informado,0
Bahia,Lesao corporal seguida de morte,2022,10,Feminino,0
Bahia,Lesao corporal seguida de morte,2022,10,Masculino,3
Bahia,Lesao corporal seguida de morte,2022,10,Nao informado,0
Bahia,Lesao corporal seguida de morte,2022,11,Feminino,1
Bahia,Lesao corporal seguida de morte,2022,11,Masculino,7
Bahia,Lesao corporal seguida de morte,2022,11,Nao informado,0
Bahia,Lesao corporal seguida de morte,2022,12,Feminino,0
Bahia,Lesao corporal seguida de morte,2022,12,Masculino,3
Bahia,Lesao corporal seguida de morte,2022,12,Nao informado,0
Bahia,Roubo seguido de morte (latrocinio),2022,1,Feminino,0
Bahia,Roubo seguido de morte (latrocinio),2022,1,Masculino,4
Bahia,Roubo seguido de morte (latrocinio),2022,1,Nao informado,0
Bahia,Roubo seguido de morte (latrocinio),2022,2,Feminino,1
Bahia,Roubo seguido de morte (latrocinio),2022,2,Masculino,7
Bahia,Roubo seguido de morte (latrocinio),2022,2,Nao informado,0
Bahia,Roubo seguido de morte (latrocinio),2022,3,Feminino,0
Bahia,Roubo seguido de morte (latrocinio),2022,3,Masculino,5
Bahia,Roubo seguido de morte (latrocinio),2022,3,Nao informado,0
Bahia,Roubo seguido de morte (latrocinio),2022,4,Feminino,1
Bahia,Roubo seguido de morte (latrocinio),2022,4,Masculino,7
Bahia,Roubo seguido de morte (latrocinio),2022,4,Nao informado,0
Bahia,Roubo seguido de morte (latrocinio),2022,5,Feminino,1
Bahia,Roubo seguido de morte (latrocinio),2022,5,Masculino,4
Bahia,Roubo seguido de morte (latrocinio),2022,5,Nao informado,0
Bahia,Roubo seguido de morte (latrocinio),2022,6,Feminino,1
Bahia,Roubo seguido de morte (latrocinio),2022,6,Masculino,11
Bahia,Roubo seguido de morte (latrocinio),2022,6,Nao informado,0
Bahia,Roubo seguido de morte (latrocinio),2022,7,Feminino,1
Bahia,Roubo seguido de morte (latrocinio),2022,7,Masculino,5
Bahia,Roubo seguido de morte (latrocinio),2022,7,Nao informado,0
Bahia,Roubo seguido de morte (latrocinio),2022,8,Feminino,1
Bahia,Roubo seguido de morte (latrocinio),2022,8,Masculino,5
Bahia,Roubo seguido de morte (latrocinio),2022,8,Nao informado,0
Bahia,Roubo seguido de morte (latrocinio),2022,9,Feminino,2
Bahia,Roubo seguido de morte (latrocinio),2022,9,Masculino,5
Bahia,Roubo seguido de morte (latrocinio),2022,9,Nao informado,0
Bahia,Roubo seguido de morte (latrocinio),2022,10,Feminino,1
Bahia,Roubo seguido de morte (latrocinio),2022,10,Masculino,8
Bahia,Roubo seguido de morte (latrocinio),2022,10,Nao informado,0
Bahia,Roubo seguido de morte (latrocinio),2022,11,Feminino,0
Bahia,Roubo seguido de morte (latrocinio),2022,11,Masculino,5
Bahia,Roubo seguido de morte (latrocinio),2022,11,Nao informado,0
Bahia,Roubo seguido de morte (latrocinio),2022,12,Feminino,2
Bahia,Roubo seguido de morte (latrocinio),2022,12,Masculino,8
Bahia,Roubo seguido de morte (latrocinio),2022,12,Nao informado,0
Ceara,Homicidio doloso,2022,1,Feminino,17
Ceara,Homicidio doloso,2022,1,Masculino,225
Ceara,Homicidio doloso,2022,1,Nao informado,0
Ceara,Homicidio doloso,2022,2,Feminino,17
Ceara,Homicidio doloso,2022,2,Masculino,252
Ceara,Homicidio doloso,2022,2,Nao informado,0
Ceara,Homicidio doloso,2022,3,Feminino,19
Ceara,Homicidio doloso,2022,3,Masculino,204
Ceara,Homicidio doloso,2022,3,Nao informado,0
Ceara,Homicidio doloso,2022,4,Feminino,22
Ceara,Homicidio doloso,2022,4,Masculino,212
Ceara,Homicidio doloso,2022,4,Nao informado,0
Ceara,Homicidio doloso,2022,5,Feminino,23
Ceara,Homicidio doloso,2022,5,Masculino,241
Ceara,Homicidio doloso,2022,5,Nao informado,0
Ceara,Homicidio doloso,2022,6,Feminino,17
Ceara,Homicidio doloso,2022,6,Masculino,191
Ceara,Homicidio doloso,2022,6,Nao informado,0
Ceara,Homicidio doloso,2022,7,Feminino,22
Ceara,Homicidio doloso,2022,7,Masculino,221
Ceara,Homicidio doloso,2022,7,Nao informado,0
Ceara,Homicidio doloso,2022,8,Feminino,13
Ceara,Homicidio doloso,2022,8,Masculino,232
Ceara,Homicidio doloso,2022,8,Nao informado,0
Ceara,Homicidio doloso,2022,9,Feminino,21
Ceara,Homicidio doloso,2022,9,Masculino,222
Ceara,Homicidio doloso,2022,9,Nao informado,0
Ceara,Homicidio doloso,2022,10,Feminino,22
Ceara,Homicidio doloso,2022,10,Masculino,224
Ceara,Homicidio doloso,2022,10,Nao informado,0
Ceara,Homicidio doloso,2022,11,Feminino,19
Ceara,Homicidio doloso,2022,11,Masculino,209
Ceara,Homicidio doloso,2022,11,Nao informado,0
Ceara,Homicidio doloso,2022,12,Feminino,24
Ceara,Homicidio doloso,2022,12,Masculino,213
Ceara,Homicidio doloso,2022,12,Nao informado,0
Ceara,Lesao corporal seguida de morte,2022,1,Feminino,0
Ceara,Lesao corporal seguida de morte,2022,1,Masculino,1
Ceara,Lesao corporal seguida de morte,2022,1,Nao informado,0
Ceara,Lesao corporal seguida de morte,2022,2,Feminino,0
Ceara,Lesao corporal seguida de morte,2022,2,Masculino,1
Ceara,Lesao corporal seguida de morte,2022,2,Nao informado,0
Ceara,Lesao corporal seguida de morte,2022,3,Feminino,0
Ceara,Lesao corporal seguida de morte,2022,3,Masculino,1
Ceara,Lesao corporal seguida de morte,2022,3,Nao informado,0
Ceara,Lesao corporal seguida de morte,2022,4,Feminino,0
Ceara,Lesao corporal seguida de morte,2022,4,Masculino,0
Ceara,Lesao corporal seguida de morte,2022,4,Nao informado,0
Ceara,Lesao corporal seguida de morte,2022,5,Feminino,1
Ceara,Lesao corporal seguida de morte,2022,5,Masculino,2
Ceara,Lesao corporal seguida de morte,2022,5,Nao informado,0
Ceara,Lesao corporal seguida de morte,2022,6,Feminino,0
Ceara,Lesao corporal seguida de morte,2022,6,Masculino,2
Ceara,Lesao corporal seguida de morte,2022,6,Nao informado,0
Ceara,Lesao corporal seguida de morte,2022,7,Feminino,0
Ceara,Lesao corporal seguida de morte,2022,7,Masculino,5
Ceara,Lesao corporal seguida de morte,2022,7,Nao informado,0
Ceara,Lesao corporal seguida de morte,2022,8,Feminino,0
Ceara,Lesao corporal seguida de morte,2022,8,Masculino,0
Ceara,Lesao corporal seguida de morte,2022,8,Nao informado,0
Ceara,Lesao corporal seguida de morte,2022,9,Feminino,0
Ceara,Lesao corporal seguida de morte,2022,9,Masculino,1
Ceara,Lesao corporal seguida de morte,2022,9,Nao informado,0
Ceara,Lesao corporal seguida de morte,2022,10,Feminino,0
Ceara,Lesao corporal seguida de morte,2022,10,Masculino,1
Ceara,Lesao corporal seguida de morte,2022,10,Nao informado,0
Ceara,Lesao corporal seguida de morte,2022,11,Feminino,0
Ceara,Lesao corporal seguida de morte,2022,11,Masculino,1
Ceara,Lesao corporal seguida de morte,2022,11,Nao informado,0
Ceara,Lesao corporal seguida de morte,2022,12,Feminino,0
