uf,tipo_crime,ano,mes,quantidade_ocorrencias
Amapá,Tentativa de homicídio,2022,1,18
Amapá,Estupro,2022,2,13
Amapá,Furto de veículo,2022,2,120
Amapá,Homicídio doloso,2022,2,20
Amapá,Lesão corporal seguida de morte,2022,2,0
Amapá,Roubo a instituição financeira,2022,2,0
Amapá,Roubo de carga,2022,2,0
Amapá,Roubo de veículo,2022,2,25
Amapá,Roubo seguido de morte (latrocínio),2022,2,2
Amapá,Tentativa de homicídio,2022,2,12
Amapá,Estupro,2022,3,5
Amapá,Furto de veículo,2022,3,28
Amapá,Homicídio doloso,2022,3,12
Amapá,Lesão corporal seguida de morte,2022,3,1
Amapá,Roubo a instituição financeira,2022,3,0
Amapá,Roubo de carga,2022,3,1
Amapá,Roubo de veículo,2022,3,37
Amapá,Roubo seguido de morte (latrocínio),2022,3,1
Amapá,Tentativa de homicídio,2022,3,10
Amapá,Estupro,2022,4,10
Amapá,Furto de veículo,2022,4,35
Amapá,Homicídio doloso,2022,4,15
Amapá,Lesão corporal seguida de morte,2022,4,0
Amapá,Roubo a instituição financeira,2022,4,1
Amapá,Roubo de carga,2022,4,5
Amapá,Roubo de veículo,2022,4,42
Amapá,Roubo seguido de morte (latrocínio),2022,4,2
Amapá,Tentativa de homicídio,2022,4,15
Amapá,Estupro,2022,5,12
Amapá,Furto de veículo,2022,5,26
Amapá,Homicídio doloso,2022,5,13
Amapá,Lesão corporal seguida de morte,2022,5,2
Amapá,Roubo de veículo,2022,5,29
Amapá,Roubo seguido de morte (latrocínio),2022,5,2
Amapá,Tentativa de homicídio,2022,5,19
Amapá,Estupro,2022,6,12
Amapá,Furto de veículo,2022,6,21
Amapá,Homicídio doloso,2022,6,13
Amapá,Lesão corporal seguida de morte,2022,6,3
Amapá,Roubo a instituição financeira,2022,6,1
Amapá,Roubo de veículo,2022,6,20
Amapá,Roubo seguido de morte (latrocínio),2022,6,2
Amapá,Tentativa de homicídio,2022,6,16
Amapá,Estupro,2022,7,9
Amapá,Furto de veículo,2022,7,18
Amapá,Homicídio doloso,2022,7,13
Amapá,Lesão corporal seguida de morte,2022,7,2
Amapá,Roubo de veículo,2022,7,25
Amapá,Roubo seguido de morte (latrocínio),2022,7,1
Amapá,Tentativa de homicídio,2022,7,27
Amapá,Estupro,2022,8,8
Amapá,Furto de veículo,2022,8,26
Amapá,Homicídio doloso,2022,8,22
Amapá,Lesão corporal seguida de morte,2022,8,1
Amapá,Roubo a instituição financeira,2022,8,1
Amapá,Roubo de carga,2022,8,6
Amapá,Roubo de veículo,2022,8,34
Amapá,Roubo seguido de morte (latrocínio),2022,8,1
Amapá,Tentativa de homicídio,2022,8,12
Amapá,Estupro,2022,9,14
Amapá,Furto de veículo,2022,9,26
Amapá,Homicídio doloso,2022,9,11
Amapá,Lesão corporal seguida de morte,2022,9,3
Amapá,Roubo a instituição financeira,2022,9,1
Amapá,Roubo de carga,2022,9,5
Amapá,Roubo de veículo,2022,9,34
Amapá,Roubo seguido de morte (latrocínio),2022,9,4
Amapá,Tentativa de homicídio,2022,9,9
Amapá,Estupro,2022,10,10
Amapá,Furto de veículo,2022,10,28
Amapá,Homicídio doloso,2022,10,14
Amapá,Lesão corporal seguida de morte,2022,10,1
Amapá,Roubo a instituição financeira,2022,10,2
Amapá,Roubo de carga,2022,10,4
Amapá,Roubo de veículo,2022,10,34
Amapá,Tentativa de homicídio,2022,10,24
Amapá,Estupro,2022,11,17
Amapá,Furto de veículo,2022,11,44
Amapá,Homicídio doloso,2022,11,21
Amapá,Lesão corporal seguida de morte,2022,11,2
Amapá,Roubo de veículo,2022,11,31
Amapá,Tentativa de homicídio,2022,11,17
Amapá,Estupro,2022,12,19
Amapá,Furto de veículo,2022,12,24
Amapá,Homicídio doloso,2022,12,26
Amapá,Lesão corporal seguida de morte,2022,12,2
Amapá,Roubo de veículo,2022,12,26
Amapá,Roubo seguido de morte (latrocínio),2022,12,3
Amapá,Tentativa de homicídio,2022,12,16
Amazonas,Estupro,2022,1,43
Amazonas,Furto de veículo,2022,1,176
Amazonas,Homicídio doloso,2022,1,95
Amazonas,Lesão corporal seguida de morte,2022,1,1
Amazonas,Roubo a instituição financeira,2022,1,0
Amazonas,Roubo de carga,2022,1,0
Amazonas,Roubo de veículo,2022,1,144
Amazonas,Roubo seguido de morte (latrocínio),2022,1,5
Amazonas,Tentativa de homicídio,2022,1,11
Amazonas,Estupro,2022,2,64
Amazonas,Furto de veículo,2022,2,204
Amazonas,Homicídio doloso,2022,2,90
Amazonas,Lesão corporal seguida de morte,2022,2,2
Amazonas,Roubo a instituição financeira,2022,2,0
Amazonas,Roubo de carga,2022,2,0
Amazonas,Roubo de veículo,2022,2,174
Amazonas,Roubo seguido de morte (latrocínio),2022,2,5
Amazonas,Tentativa de homicídio,2022,2,16
Amazonas,Estupro,2022,3,76
Amazonas,Furto de veículo,2022,3,211
Amazonas,Homicídio doloso,2022,3,97
Amazonas,Lesão corporal seguida de morte,2022,3,5
Amazonas,Roubo a instituição financeira,2022,3,0
Amazonas,Roubo de carga,2022,3,1
Amazonas,Roubo de veículo,2022,3,164
Amazonas,Roubo seguido de morte (latrocínio),2022,3,5
Amazonas,Tentativa de homicídio,2022,3,27
Amazonas,Estupro,2022,4,81
Amazonas,Furto de veículo,2022,4,195
Amazonas,Homicídio doloso,2022,4,115
Amazonas,Lesão corporal seguida de morte,2022,4,5
Amazonas,Roubo a instituição financeira,2022,4,0
Amazonas,Roubo de carga,2022,4,3
Amazonas,Roubo de veículo,2022,4,113
Amazonas,Roubo seguido de morte (latrocínio),2022,4,4
Amazonas,Tentativa de homicídio,2022,4,33
Amazonas,Estupro,2022,5,72
Amazonas,Furto de veículo,2022,5,220
Amazonas,Homicídio doloso,2022,5,127
Amazonas,Lesão corporal seguida de morte,2022,5,2
Amazonas,Roubo a instituição financeira,2022,5,0
Amazonas,Roubo de carga,2022,5,0
Amazonas,Roubo de veículo,2022,5,118
Amazonas,Roubo seguido de morte (latrocínio),2022,5,7
Amazonas,Tentativa de homicídio,2022,5,16
Amazonas,Estupro,2022,6,81
Amazonas,Furto de veículo,2022,6,178
Amazonas,Homicídio doloso,2022,6,96
Amazonas,Lesão corporal seguida de morte,2022,6,0
Amazonas,Roubo a instituição financeira,2022,6,0
Amazonas,Roubo de carga,2022,6,2
Amazonas,Roubo de veículo,2022,6,111
Amazonas,Roubo seguido de morte (latrocínio),2022,6,4
Amazonas,Tentativa de homicídio,2022,6,17
Amazonas,Estupro,2022,7,100
Amazonas,Furto de veículo,2022,7,231
Amazonas,Homicídio doloso,2022,7,101
Amazonas,Lesão corporal seguida de morte,2022,7,2
Amazonas,Roubo a instituição financeira,2022,7,0
Amazonas,Roubo de carga,2022,7,0
Amazonas,Roubo de veículo,2022,7,116
Amazonas,Roubo seguido de morte (latrocínio),2022,7,6
Amazonas,Tentativa de homicídio,2022,7,25
Amazonas,Estupro,2022,8,88
Amazonas,Furto de veículo,2022,8,157
Amazonas,Homicídio doloso,2022,8,109
Amazonas,Lesão corporal seguida de morte,2022,8,1
Amazonas,Roubo a instituição financeira,2022,8,1
Amazonas,Roubo de carga,2022,8,6
Amazonas,Roubo de veículo,2022,8,118
Amazonas,Roubo seguido de morte (latrocínio),2022,8,3
Amazonas,Tentativa de homicídio,2022,8,26
Amazonas,Estupro,2022,9,99
Amazonas,Furto de veículo,2022,9,208
Amazonas,Homicídio doloso,2022,9,118
Amazonas,Lesão corporal seguida de morte,2022,9,4
Amazonas,Roubo a instituição financeira,2022,9,0
Amazonas,Roubo de carga,2022,9,1
Amazonas,Roubo de veículo,2022,9,100
Amazonas,Roubo seguido de morte (latrocínio),2022,9,2
Amazonas,Tentativa de homicídio,2022,9,20
Amazonas,Estupro,2022,10,71
Amazonas,Furto de veículo,2022,10,134
Amazonas,Homicídio doloso,2022,10,122
Amazonas,Lesão corporal seguida de morte,2022,10,5
Amazonas,Roubo a instituição financeira,2022,10,0
Amazonas,Roubo de carga,2022,10,2
Amazonas,Roubo de veículo,2022,10,123
Amazonas,Roubo seguido de morte (latrocínio),2022,10,5
Amazonas,Tentativa de homicídio,2022,10,31
Amazonas,Estupro,2022,11,53
Amazonas,Furto de veículo,2022,11,148
Amazonas,Homicídio doloso,2022,11,106
