uf,tipo_crime,ano,mes,sexo_vitima,quantidade_vitimas
Ceará,Homicídio doloso,2022,1,Nao informado,0
Ceará,Homicídio doloso,2022,2,Feminino,17
Ceará,Homicídio doloso,2022,2,Masculino,252
Ceará,Homicídio doloso,2022,2,Nao informado,0
Ceará,Homicídio doloso,2022,3,Feminino,19
Ceará,Homicídio doloso,2022,3,Masculino,204
Ceará,Homicídio doloso,2022,3,Nao informado,0
Ceará,Homicídio doloso,2022,4,Feminino,22
Ceará,Homicídio doloso,2022,4,Masculino,212
Ceará,Homicídio doloso,2022,4,Nao informado,0
Ceará,Homicídio doloso,2022,5,Feminino,23
Ceará,Homicídio doloso,2022,5,Masculino,241
Ceará,Homicídio doloso,2022,5,Nao informado,0
Ceará,Homicídio doloso,2022,6,Feminino,17
Ceará,Homicídio doloso,2022,6,Masculino,191
Ceará,Homicídio doloso,2022,6,Nao informado,0
Ceará,Homicídio doloso,2022,7,Feminino,22
Ceará,Homicídio doloso,2022,7,Masculino,221
Ceará,Homicídio doloso,2022,7,Nao informado,0
Ceará,Homicídio doloso,2022,8,Feminino,13
Ceará,Homicídio doloso,2022,8,Masculino,232
Ceará,Homicídio doloso,2022,8,Nao informado,0
Ceará,Homicídio doloso,2022,9,Feminino,21
Ceará,Homicídio doloso,2022,9,Masculino,222
Ceará,Homicídio doloso,2022,9,Nao informado,0
Ceará,Homicídio doloso,2022,10,Feminino,22
Ceará,Homicídio doloso,2022,10,Masculino,224
Ceará,Homicídio doloso,2022,10,Nao informado,0
Ceará,Homicídio doloso,2022,11,Feminino,19
Ceará,Homicídio doloso,2022,11,Masculino,209
Ceará,Homicídio doloso,2022,11,Nao informado,0
Ceará,Homicídio doloso,2022,12,Feminino,24
Ceará,Homicídio doloso,2022,12,Masculino,213
Ceará,Homicídio doloso,2022,12,Nao informado,0
Ceará,Lesão corporal seguida de morte,2022,1,Feminino,0
Ceará,Lesão corporal seguida de morte,2022,1,Masculino,1
Ceará,Lesão corporal seguida de morte,2022,1,Nao informado,0
Ceará,Lesão corporal seguida de morte,2022,2,Feminino,0
Ceará,Lesão corporal seguida de morte,2022,2,Masculino,1
Ceará,Lesão corporal seguida de morte,2022,2,Nao informado,0
